sample_id,220090_at,226067_at,205900_at,230835_at,226147_s_at,204623_at,223720_at,229659_s_at,202018_s_at,212768_s_at,213432_at,207802_at,205979_at,224328_s_at,206642_at,1560712_at,220267_at,217022_s_at,220620_at,213240_s_at,group
GSM1551378,14.43055894,1.666090559,14.62289768,15.40493845,9.432362176,3.789122754,14.13298124,9.05357303,6.458796395,4.595074991,4.290261323,12.52124881,6.284827229,15.04775704,12.22900772,13.11181932,11.47625818,3.693250117,10.34300383,14.92836361,CIN3
GSM1551379,13.47206356,1.64603756,14.34293615,15.25505808,3.069502588,1.751082014,7.806432372,3.176395247,7.807495499,8.376634018,2.067606587,3.44769688,2.689523534,5.176617896,3.264119436,10.8632248,12.2445357,13.8149246,6.645310312,12.91428659,CIN3
GSM1551380,12.6256863,9.241458216,14.073395,15.43613017,10.08616311,8.031066295,9.691260811,10.17621257,2.311264507,7.651924828,3.913817318,3.895235953,3.918085358,9.705014357,3.053588841,11.37016905,10.91040923,10.72357491,5.514356054,15.15526475,CIN3
GSM1551381,11.3958045,1.683714697,14.96634265,15.49395146,4.354409976,1.77930093,10.61018923,3.460356897,2.327638539,6.634346471,2.091123164,4.414667253,2.874349316,13.79666581,11.73694682,11.27297266,10.01933496,8.868291162,7.595875838,12.96092765,CIN3
GSM1551382,14.74587121,1.649669825,14.84852369,15.70483608,5.934179178,1.863092784,13.79284203,4.216794047,8.926791723,14.95962394,2.090368018,12.30696029,3.150254655,14.04788031,11.30672869,14.08385344,15.42939543,11.72234617,10.29948569,14.08819817,CIN3
GSM1551383,10.44418785,1.662402966,1.850750407,2.376862042,2.637087841,1.871503257,6.159786554,3.43068625,3.387588689,4.048346782,2.103611904,3.953864989,2.781448701,3.160545876,3.019723121,7.248624753,15.18970471,14.05730672,1.785836209,14.87001494,CIN3
GSM1551384,14.59061396,12.40351564,14.21162752,15.29662883,12.61578176,10.82265959,13.28033549,12.02194004,9.462508053,15.58834774,6.663862207,12.77703568,8.758583309,13.65047803,6.909435585,13.80070538,13.89533723,12.51960491,10.10714009,14.85410826,CIN3
GSM1551385,10.21558119,1.62142115,13.92181949,13.74535871,4.89632157,1.687671978,2.328076821,5.238883291,2.292431654,4.269492736,2.041025596,3.556704205,2.648285686,4.046695819,9.162654368,9.544166076,10.69019225,11.2024687,1.764092972,12.48389325,CIN3
GSM1551386,8.253782634,13.03202293,11.04558343,5.227872681,12.47547784,10.94482212,2.467565012,12.04633649,11.78006291,4.370632895,10.55846701,4.234859269,9.17640361,4.097071376,3.001092059,2.753696321,14.24632046,14.27182281,1.776221579,14.33939249,CIN3
GSM1551387,1.514901064,10.80428469,14.05305687,5.140678475,11.30078795,7.95865227,2.29156121,10.86334795,6.929677373,14.55355414,4.712178507,3.657415515,5.998955461,4.167280879,2.926909833,2.751432368,4.575838825,15.47476722,1.772368414,13.1868334,CIN3
GSM1551388,13.50693036,10.63557668,12.62835504,15.04221422,11.66677876,9.320024593,13.7808683,10.8798791,6.244110709,15.17202506,6.90978454,12.72219845,10.87232087,10.94494974,11.41920955,12.11961178,12.39004687,12.56607141,9.165735332,14.20285426,CIN3
